#NAME	GSM553736	GSM553737	GSM553738	GSM553739	GSM553740	GSM553741	GSM553742	GSM553743	GSM553744	GSM553745	GSM553746	GSM553747
#CLASS:Treatment	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS	control	LPS	LPS_LPS
#CLASS:Donor	21	21	21	46	46	46	86	86	86	92	92	92
NM_018418.1	7.118143	6.89236	7.068724	7.300035	6.712901	6.950416	6.925696	6.830712	6.974427	6.902358	6.743497	7.020092
NM_001031835.1	6.979297	6.757238	6.658865	7.003904	6.846723	6.862684	6.952005	6.937483	6.862416	7.057352	7.065309	7.037683
NM_033199.3	6.548073	6.510917	6.450881	6.600618	6.564858	6.580992	6.657345	6.599419	6.436736	6.526594	6.362768	6.512796
NM_001738.1	6.458971	6.522204	6.642823	6.63932	6.619528	6.470571	6.566663	6.578085	6.496268	6.515835	6.481158	6.504809
NM_001004346.2	7.166874	7.418196	7.316928	7.19241	7.207585	7.259976	7.12376	7.268072	7.089217	7.201147	7.304455	7.285449
XM_927544.1	6.695911	6.765483	6.595069	6.757461	6.85893	6.756603	6.873495	6.768933	6.743927	6.645042	6.810353	6.698081
NM_018890.2	6.573106	6.624526	6.690579	6.535237	6.752793	6.608252	6.70245	6.647829	6.623714	6.769259	6.539115	6.648719
NM_015544.2	6.374056	6.525423	6.538148	6.468633	6.556106	6.492778	6.553534	6.512544	6.455494	6.435484	6.410838	6.444802
NM_152526.3	6.56049	6.565049	6.569303	6.600618	6.505894	6.621702	6.494666	6.515348	6.642996	6.460863	6.576866	6.615494
NM_207312.1	6.849884	6.847715	6.784235	7.059821	6.86077	6.772276	6.975296	6.911923	7.003	7.136303	6.779873	6.736652
NM_000441.1	6.505992	6.478338	6.545678	6.671621	6.408302	6.551622	6.596552	6.540515	6.385726	6.616967	6.53613	6.536306
NM_004333.2	6.642996	6.613476	6.651041	6.729339	6.67158	6.753578	6.752472	6.714866	6.672309	6.778054	6.754566	6.745079
NM_030573.2	7.881588	8.030545	8.012499	7.928358	8.070726	7.911455	7.721935	7.849933	7.746399	7.996098	7.947137	7.829809
NM_031480.2	6.914023	7.331941	6.842537	7.282497	7.505619	7.026781	7.015218	7.274927	7.005947	6.963881	7.12174	6.857864
XM_945692.1	6.482883	6.750969	6.671873	6.491283	6.62143	6.646307	6.636072	6.72884	6.699539	6.489582	6.639667	6.554389
NM_014481.2	8.371689	8.369293	8.439968	8.237362	8.514662	8.349706	8.398464	8.583126	8.78991	8.447512	8.333425	8.350228
NM_199050.1	8.055828	7.747018	7.775322	7.966359	7.704508	7.664574	7.902766	7.78921	7.627547	7.843367	7.766013	7.270686
NM_015458.3	8.566174	8.682418	8.301204	8.686375	8.519523	8.491019	8.434523	8.712556	8.559828	8.389995	8.432521	8.31335
NM_033446.1	7.234636	6.989961	7.209067	7.253574	7.190994	7.19884	7.045823	7.165511	7.284262	7.027791	7.064748	7.154244
NM_173828.3	6.999838	7.048544	7.049239	7.173411	6.992196	6.963881	6.943857	6.960399	6.932748	6.989253	6.840913	7.058464
NM_001392.3	6.688915	6.730257	6.825061	6.621702	6.714701	6.782309	6.611187	6.727487	6.710685	6.536306	6.707272	6.723026
NM_000549.2	6.626703	6.575259	6.508352	6.520362	6.536306	6.446972	6.511015	6.480053	6.439318	6.694891	6.448829	6.680672
NM_002691.1	7.44742	7.216886	7.315315	7.376105	7.263922	7.223981	7.457488	7.027864	7.690867	7.286431	7.094412	7.348012
NM_024855.2	8.505139	8.548227	8.456647	8.602832	8.341264	8.448968	8.389635	8.524542	8.437056	8.486362	8.492541	8.110931
NM_173573.1	6.794868	6.745079	6.779832	6.726979	6.623153	6.745415	6.670158	6.568091	6.779357	6.509158	6.564688	6.702036
XM_943475.1	6.995341	7.032462	7.042153	6.997048	7.284597	7.068724	6.967159	7.041584	6.986993	7.045823	6.931479	6.943071
NM_022343.2	11.20018	11.30118	11.45114	11.17989	11.4321	11.4876	11.63606	11.76917	12.14824	11.20447	11.66404	11.98903
NM_001566.1	6.951928	6.81679	6.997087	7.152841	6.878979	6.956004	6.879311	6.804082	6.956683	6.912167	7.046139	7.000764
NM_001024666.1	7.502125	7.34846	7.148202	7.447631	7.209356	7.514723	7.295472	7.424408	7.573939	7.14896	7.205322	7.276176
NM_001001555.1	6.623068	6.576672	6.729507	6.660632	6.624878	6.602912	6.691942	6.618146	6.64596	6.553814	6.616683	6.832821
